Channel Id,Channel Url,Channel Title
UC5DH3eN81b0RGJ7Xj3fsjVg,http://www.youtube.com/channel/UC5DH3eN81b0RGJ7Xj3fsjVg,Button Poetry
UC5Ghe5TBQGYIOANuiNW4hDQ,http://www.youtube.com/channel/UC5Ghe5TBQGYIOANuiNW4hDQ,Garys Economics
UC5I6U4WuS_qYQZhrMExJ5ZQ,http://www.youtube.com/channel/UC5I6U4WuS_qYQZhrMExJ5ZQ,Hum Tum In England
UC5YYDtjudfqxGwnJI-32qYQ,http://www.youtube.com/channel/UC5YYDtjudfqxGwnJI-32qYQ,Mults
UC5cEM9qiDsY8wUpUJ1FAuBg,http://www.youtube.com/channel/UC5cEM9qiDsY8wUpUJ1FAuBg,A2Z Tricks
UC5nc_ZtjKW1htCVZVRxlQAQ,http://www.youtube.com/channel/UC5nc_ZtjKW1htCVZVRxlQAQ,MrSuicideSheep
UC5wZGwqyPawfmzpve8aJ-hw,http://www.youtube.com/channel/UC5wZGwqyPawfmzpve8aJ-hw,Geopold
UC6-ymYjG0SU0jUWnWh9ZzEQ,http://www.youtube.com/channel/UC6-ymYjG0SU0jUWnWh9ZzEQ,Wisecrack
UC6107grRI4m0o2-emgoDnAA,http://www.youtube.com/channel/UC6107grRI4m0o2-emgoDnAA,SmarterEveryDay
UC640y4UvDAlya_WOj5U4pfA,http://www.youtube.com/channel/UC640y4UvDAlya_WOj5U4pfA,nptelhrd
UC64UiPJwM_e9AqAd7RiD7JA,http://www.youtube.com/channel/UC64UiPJwM_e9AqAd7RiD7JA,Today I Found Out
UC67gfx2Fg7K2NSHqoENVgwA,http://www.youtube.com/channel/UC67gfx2Fg7K2NSHqoENVgwA,Tom Stanton
UC68TLK0mAEzUyHx5x5k-S1Q,http://www.youtube.com/channel/UC68TLK0mAEzUyHx5x5k-S1Q,Jeff Nippard
UC6AVa0vSrCpuskzGDDKz_EQ,http://www.youtube.com/channel/UC6AVa0vSrCpuskzGDDKz_EQ,zedstatistics
UC6BAsCwHA4rRNm-9DbVt_sw,http://www.youtube.com/channel/UC6BAsCwHA4rRNm-9DbVt_sw,Raphael Haase - 38Countries
UC6HEhd6eFIAmnwoi77hnNIw,http://www.youtube.com/channel/UC6HEhd6eFIAmnwoi77hnNIw,Trav White
UC6KRRypaw5MfPmi0ImcJY-A,http://www.youtube.com/channel/UC6KRRypaw5MfPmi0ImcJY-A,iluli by Mike Lamb
UC6WOxrSKLW8VagrNkfvi6EQ,http://www.youtube.com/channel/UC6WOxrSKLW8VagrNkfvi6EQ,THE SQUIDD
UC6ZFN9Tx6xh-skXCuRHCDpQ,http://www.youtube.com/channel/UC6ZFN9Tx6xh-skXCuRHCDpQ,PBS NewsHour
UC6aTLuI_j4-0wiDSzmaPctQ,http://www.youtube.com/channel/UC6aTLuI_j4-0wiDSzmaPctQ,Sam Meech-Ward
UC6biysICWOJ-C3P4Tyeggzg,http://www.youtube.com/channel/UC6biysICWOJ-C3P4Tyeggzg,Low Level
UC6jEF1orhgER1Nsc174FwTg,http://www.youtube.com/channel/UC6jEF1orhgER1Nsc174FwTg,Complete Anatomy
UC6ktP3PLU5sAJxN9Rb0TALg,http://www.youtube.com/channel/UC6ktP3PLU5sAJxN9Rb0TALg,Mike Shake
UC6n8I1UDTKP1IWjQMg6_TwA,http://www.youtube.com/channel/UC6n8I1UDTKP1IWjQMg6_TwA,The B1M
UC6nSFpj9HTCZ5t-N3Rm3-HA,http://www.youtube.com/channel/UC6nSFpj9HTCZ5t-N3Rm3-HA,Vsauce
UC6vRUjYqDuoUsYsku86Lrsw,http://www.youtube.com/channel/UC6vRUjYqDuoUsYsku86Lrsw,Jack Herrington
UC6x7GwJxuoABSosgVXDYtTw,http://www.youtube.com/channel/UC6x7GwJxuoABSosgVXDYtTw,I Like To Make Stuff
UC6zuHOLcKY74-K3kSvrP4zw,http://www.youtube.com/channel/UC6zuHOLcKY74-K3kSvrP4zw,The Micho Brothers
UC7-YMmnc0ppcWmio8t1WdcA,http://www.youtube.com/channel/UC7-YMmnc0ppcWmio8t1WdcA,System Of A Down
UC726J5A0LLFRxQ0SZqr2mYQ,http://www.youtube.com/channel/UC726J5A0LLFRxQ0SZqr2mYQ,Curious Droid
UC7C2ZLrmQ3EYs_n0DeQiO7g,http://www.youtube.com/channel/UC7C2ZLrmQ3EYs_n0DeQiO7g,Hewsev
UC7IcJI8PUf5Z3zKxnZvTBog,http://www.youtube.com/channel/UC7IcJI8PUf5Z3zKxnZvTBog,The School of Life
UC7R27sAWc_DqOldtI1JcYhQ,http://www.youtube.com/channel/UC7R27sAWc_DqOldtI1JcYhQ,South Park Studios
UC7S2m-9UUUeSqUnr8_-XuvA,http://www.youtube.com/channel/UC7S2m-9UUUeSqUnr8_-XuvA,OffendingEverybody
UC7WtLipHnndkqwSxvL0oyVQ,http://www.youtube.com/channel/UC7WtLipHnndkqwSxvL0oyVQ,DMS
UC7YOGHUfC1Tb6E4pudI9STA,http://www.youtube.com/channel/UC7YOGHUfC1Tb6E4pudI9STA,Mental Outlaw
UC7_gcs09iThXybpVgjHZ_7g,http://www.youtube.com/channel/UC7_gcs09iThXybpVgjHZ_7g,PBS Space Time
