,altitude,date_time,device_info_serial,direction,latitude,longitude,speed_2d,bird_name
73,308,2013-08-15 19:56:08+00,851,85.1441811918933,49.4263349,2.1186891,1.6161683080669498,Eric
74,476,2013-08-15 20:11:04+00,851,133.501650069079,49.427403600000005,2.1185777000000003,1.08853112036358,Eric
75,64,2013-08-15 20:26:01+00,851,-132.41569442736,49.4283616,2.1222069,1.5454772725601598,Eric
76,271,2013-08-15 20:40:55+00,851,138.014026087773,49.4272894,2.1198919999999997,0.34539832078341104,Eric
77,285,2013-08-15 20:55:51+00,851,66.6467400216726,49.4277676,2.1204799,0.5515432893255071,Eric
78,297,2013-08-15 21:25:44+00,851,-168.370221971657,49.4262533,2.1204236,2.0519746587129197,Eric
79,261,2013-08-15 21:55:36+00,851,165.075851615933,49.426283500000004,2.1212838,1.6754700832900602,Eric
80,95,2013-08-15 22:26:02+00,851,39.2070317256736,49.4263218,2.1220901000000003,0.0860232526704263,Eric
81,91,2013-08-15 22:55:52+00,851,34.2902978922575,49.4262899,2.1219057,1.13296072306148,Eric
82,93,2013-08-15 23:25:46+00,851,-14.745211783838,49.426301,2.1221131,0.721110255092798,Eric
83,94,2013-08-15 23:56:05+00,851,-131.584655961127,49.4263184,2.1220763,0.17,Eric
84,92,2013-08-16 00:26:01+00,851,-100.811466621608,49.426305,2.1220582,2.5357641846197003,Eric
85,95,2013-08-16 00:55:51+00,851,27.0246751838418,49.4263057,2.1220833,0.0282842712474619,Eric
86,104,2013-08-16 01:25:46+00,851,7.5368881635097305,49.426379700000005,2.1220562999999997,0.312409987036266,Eric
87,92,2013-08-16 01:55:36+00,851,-123.389689158745,49.426257899999996,2.1219622000000005,1.4378108359586101,Eric
88,89,2013-08-16 02:26:42+00,851,-32.5224918188893,49.426370399999996,2.1219278999999998,0.278567765543682,Eric
89,94,2013-08-16 02:56:40+00,851,-6.5887492784168105,49.4263753,2.1219278999999998,0.110453610171873,Eric
90,100,2013-08-16 03:11:38+00,851,115.723612863742,49.4263106,2.1218852000000004,0.25059928172283297,Eric
91,84,2013-08-16 03:26:34+00,851,-57.5541895528221,49.426390999999995,2.1218339,3.38044375785192,Eric
92,95,2013-08-16 03:42:02+00,851,9.55436339065764,49.426365000000004,2.1219792,0.014142135623731001,Eric
93,86,2013-08-16 03:56:56+00,851,66.34846228893329,49.4263892,2.1221083,3.6770776439993798,Eric
94,89,2013-08-16 04:11:53+00,851,42.934740268935,49.4263894,2.1220328,0.788923316932641,Eric
95,80,2013-08-16 04:26:49+00,851,147.381861220206,49.4306846,2.1610092,0.320156211871642,Eric
96,98,2013-08-16 04:41:58+00,851,8.873764005860519,49.4309794,2.1610902000000003,0.7912016177940991,Eric
97,72,2013-08-16 04:57:11+00,851,179.68047915372398,49.4367851,2.169278,1.91211924314359,Eric
98,76,2013-08-16 05:12:39+00,851,170.091665951712,49.4367381,2.1701613999999996,0.40261644278394804,Eric
99,85,2013-08-16 05:27:56+00,851,-103.05590286085501,49.4376862,2.1901002999999997,0.490407993409569,Eric
100,91,2013-08-16 05:42:49+00,851,160.810222453658,49.4375818,2.1899338,2.8172681803477597,Eric
101,90,2013-08-16 05:57:48+00,851,11.5777968965736,49.4376003,2.1898996,0.580775343829264,Eric
102,87,2013-08-16 06:13:08+00,851,29.160051003185302,49.4375185,2.1898887000000005,0.16763054614240197,Eric
103,80,2013-08-16 06:28:07+00,851,-172.956147385889,49.4359362,2.1941515,0.332866339541865,Eric
104,174,2013-08-16 06:43:04+00,851,-148.860321700168,49.4367055,2.1940304,0.21587033144922899,Eric
105,70,2013-08-16 06:57:59+00,851,37.1430705665862,49.4358703,2.1942098,0.5277309920783511,Eric
106,-146,2013-08-16 07:12:55+00,851,168.578243733005,49.438148,2.1932953,0.585234995535981,Eric
107,-49,2013-08-16 07:28:01+00,851,-28.0257334233881,49.4171242,2.2085359,4.573947966472731,Eric
108,70,2013-08-16 07:43:05+00,851,168.50381626034,49.4177891,2.2074136,2.10318805626126,Eric
109,70,2013-08-16 07:58:00+00,851,136.144120549116,49.418062299999995,2.2066630000000003,0.36891733491393397,Eric
110,-83,2013-08-16 08:12:57+00,851,168.483188288629,49.417455700000005,2.2075739,1.1994165248153001,Eric
111,-59,2013-08-16 08:27:52+00,851,-11.4836869260113,49.4176092,2.2077866000000004,1.4689111613709,Eric
112,96,2013-08-16 08:42:47+00,851,-137.530738314401,49.4181118,2.2065005,0.224722050542442,Eric
113,87,2013-08-16 08:57:43+00,851,-125.374075458936,49.418096999999996,2.2064093999999996,0.12369316876853001,Eric
114,162,2013-08-16 09:12:39+00,851,-111.12643942465401,49.418228899999995,2.2057712000000005,1.39057542046449,Eric
115,67,2013-08-16 09:28:08+00,851,-169.463288416913,49.418024700000004,2.2066681,0.0223606797749979,Eric
116,68,2013-08-16 09:43:03+00,851,9.00248056074411,49.4180362,2.2066721,0.17117242768623697,Eric
117,268,2013-08-16 09:58:02+00,851,48.5854042548323,49.414343,2.2115755,9.75594690432456,Eric
118,857,2013-08-16 10:12:58+00,851,-176.36880731039398,49.411152,2.2642082,7.768790124594691,Eric
119,152,2013-08-16 10:27:54+00,851,-22.138239659667395,49.364336200000004,2.2734082000000004,8.55448420420542,Eric
120,124,2013-08-16 10:42:49+00,851,122.091526175739,49.3856291,2.2405199000000002,4.00312378024962,Eric
121,524,2013-08-16 10:57:45+00,851,21.8315320879686,49.3998495,2.2383033,16.0594894065783,Eric
122,16,2013-08-16 11:12:44+00,851,36.3155111695956,49.440865,2.2863234,1.9600255100380701,Eric
123,13,2013-08-16 11:27:38+00,851,-62.6062417365925,49.4412256,2.2859867,8.715348530035959,Eric
124,50,2013-08-16 11:42:33+00,851,-89.12425161186572,49.482772,2.3084062999999997,0.29732137494637,Eric
125,95,2013-08-16 11:57:29+00,851,-47.3011162677476,49.4797003,2.3094634999999997,2.2105429197371405,Eric
126,133,2013-08-16 12:12:56+00,851,178.476173761543,49.4796529,2.3089355,0.02,Eric
127,131,2013-08-16 12:27:51+00,851,53.8211622195051,49.4796403,2.3089116,0.291547594742265,Eric
128,188,2013-08-16 12:42:49+00,851,178.07873693746004,49.483463799999996,2.3085098,7.62689976333766,Eric
129,461,2013-08-16 12:57:50+00,851,-54.0289107902744,49.5020672,2.301055,11.5747181391168,Eric
